Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1641470400,42878.33000000,43077.00000000,42632.44000000,43062.76000000,1642.32739000,70325938.34761840,51512,822.24339000,35206085.68639050
1641474000,43062.77000000,43200.00000000,42900.00000000,43150.01000000,1886.14994000,81212538.61511470,57192,934.57707000,40239910.54608110
1641477600,43150.00000000,43267.09000000,42761.90000000,42805.50000000,2175.95621000,93585499.27037340,61542,1056.35146000,45436881.17892620
1641481200,42805.50000000,43019.71000000,42666.00000000,42950.01000000,1709.80241000,73267975.19441300,50377,873.22410000,37413685.49132280
1641484800,42950.02000000,43131.76000000,42725.09000000,42882.22000000,1684.48555000,72299071.09467020,45557,870.75126000,37381713.30127460
1641488400,42882.23000000,43175.66000000,42790.89000000,43005.29000000,1218.07748000,52377906.44830490,38940,646.61180000,27801522.53764250
1641492000,43005.30000000,43400.00000000,42982.05000000,43369.04000000,1267.01944000,54716417.65648500,42931,690.10145000,29805782.19739930
1641495600,43369.04000000,43508.78000000,43224.73000000,43438.10000000,1330.94921000,57753589.56943100,44890,726.63927000,31534309.43090540
1641499200,43438.11000000,43581.30000000,43111.57000000,43221.50000000,1292.41140000,55990963.89886410,40661,649.12926000,28122938.44016410
1641502800,43221.50000000,43253.29000000,43066.04000000,43120.64000000,779.82229000,33664877.31835550,28718,382.10952000,16496393.25971440
1641506400,43120.63000000,43236.73000000,43007.81000000,43180.97000000,528.19132000,22783980.38763900,26107,244.92594000,10565261.50486000
1641510000,43180.96000000,43241.41000000,43053.94000000,43082.31000000,557.69907000,24060323.10740370,22320,250.30361000,10798774.66319940
1641513600,43082.30000000,43145.83000000,42738.00000000,42788.15000000,1388.76561000,59564798.07586880,40970,652.26739000,27975660.61329440
1641517200,42788.15000000,43030.50000000,42785.56000000,43008.90000000,699.84938000,30043444.51794930,28347,357.18747000,15333309.13447470
1641520800,43008.90000000,43030.00000000,42771.59000000,42799.13000000,747.90157000,32077597.22648510,26800,348.78144000,14958004.62752430
1641524400,42799.12000000,42827.07000000,41577.77000000,41803.11000000,6273.84627000,264228630.94708600,145746,2619.09183000,110318146.65205130
1641528000,41803.11000000,41909.23000000,41000.00000000,41700.33000000,6290.72537000,260863926.00580540,126415,2934.70196000,121750191.74301490
1641531600,41700.33000000,41950.00000000,41524.94000000,41851.33000000,2331.60741000,97339628.25506160,57084,1173.12661000,48976650.25477290
1641535200,41851.33000000,41853.19000000,41409.95000000,41529.14000000,1875.03696000,77991537.69242350,53903,934.08848000,38851946.08856380
1641538800,41529.15000000,41731.36000000,41206.90000000,41706.71000000,2325.13466000,96431339.26147760,58314,1171.55910000,48586493.26636320
1641542400,41706.71000000,42883.47000000,41607.50000000,42088.61000000,3719.93086000,156993202.11951700,86460,1993.36469000,84156645.11392530
1641546000,42088.61000000,42628.34000000,42060.00000000,42422.56000000,1591.98840000,67500728.02998390,47905,819.55197000,34746641.80725150
1641549600,42422.57000000,42533.43000000,42168.00000000,42172.83000000,1278.56313000,54157124.61940870,41217,692.36761000,29327086.58856530
1641553200,42172.84000000,42350.73000000,42161.00000000,42258.62000000,1036.72745000,43794494.20152470,35081,558.03515000,23574178.70820930
1641556800,42258.62000000,42500.00000000,42258.62000000,42400.00000000,975.52441000,41358090.07718580,34518,498.20704000,21121080.22215420
1641560400,42400.00000000,42766.17000000,41200.00000000,41489.22000000,5136.68431000,215009040.85924840,112950,2488.26771000,104254578.23665060
1641564000,41489.19000000,42132.98000000,41398.13000000,41894.40000000,2577.29371000,107697458.90945060,66058,1221.24439000,51031143.78591460
1641567600,41894.40000000,41915.36000000,40610.00000000,41319.11000000,5256.54394000,216756047.35028630,111338,2326.20381000,96013087.26357330
1641571200,41310.85000000,42315.85000000,40917.66000000,42135.26000000,4909.62675000,203880305.53953150,102507,2657.93960000,110412049.49411840
1641574800,42137.38000000,42166.86000000,41749.06000000,41993.48000000,1186.96985000,49787840.36290920,40541,565.72459000,23730964.75100770
1641578400,41993.68000000,42000.00000000,41520.00000000,41707.64000000,880.73461000,36780502.62480160,35961,434.51919000,18147235.60716400
1641582000,41707.04000000,41898.33000000,41516.00000000,41775.38000000,893.41150000,37253252.03499760,33993,491.31651000,20486375.19306280
1641585600,41775.38000000,42054.00000000,41597.15000000,41922.20000000,1109.53468000,46408144.97031390,33876,528.11334000,22084315.83301410
1641589200,41922.19000000,42035.00000000,41845.46000000,41875.01000000,596.35057000,25007497.69506060,24587,273.16070000,11455383.09966430
1641592800,41875.00000000,41879.42000000,41350.00000000,41541.82000000,973.40740000,40546519.70694480,35965,405.27485000,16876222.15122430
1641596400,41541.83000000,41599.92000000,41336.82000000,41566.48000000,780.34938000,32379864.38191500,26099,375.29718000,15572810.00316200
1641600000,41566.48000000,42115.20000000,41558.00000000,41991.89000000,1244.69199000,52060218.23552830,38100,669.41726000,28005875.63192260
1641603600,41991.89000000,42246.37000000,41847.48000000,41883.41000000,1168.11943000,49120430.05072610,31643,589.63353000,24791471.22724810
1641607200,41883.42000000,41944.44000000,41693.42000000,41882.85000000,623.26458000,26068368.83294100,25967,312.73712000,13081331.21596150
1641610800,41882.86000000,41911.86000000,41641.27000000,41810.91000000,510.16918000,21317359.84882600,24101,244.98597000,10237152.26930820
1641614400,41810.92000000,41991.20000000,41760.00000000,41900.92000000,471.07045000,19724774.53796160,22396,236.35944000,9896821.01097670
1641618000,41900.92000000,41999.99000000,41836.14000000,41971.70000000,517.64026000,21698280.36305650,21429,263.05818000,11026790.26824670
1641621600,41971.70000000,41994.66000000,41739.00000000,41922.23000000,625.30663000,26179443.91001630,24406,301.92026000,12640751.62580180
1641625200,41922.22000000,41975.44000000,41841.04000000,41913.58000000,521.47279000,21856296.95944130,24786,230.80652000,9673062.72702520
1641628800,41913.59000000,42177.94000000,41882.19000000,41964.88000000,947.16040000,39793962.50270290,33120,476.45787000,20017496.05833490
1641632400,41964.87000000,42187.20000000,41954.70000000,42163.71000000,860.34897000,36197766.16175030,27389,493.97264000,20786993.02805650
1641636000,42163.71000000,42200.00000000,41790.70000000,41918.66000000,839.11518000,35256255.77439050,31676,364.93797000,15336541.28132440
1641639600,41918.66000000,41972.00000000,41767.16000000,41940.22000000,674.67737000,28236725.41063120,29079,299.58171000,12536765.87836070
1641643200,41940.22000000,42063.23000000,41773.47000000,41876.31000000,744.96865000,31208015.05628060,31559,352.97434000,14788245.94764210
1641646800,41876.32000000,42037.75000000,41610.00000000,41905.00000000,1003.98627000,42026764.42612080,34248,461.63558000,19329582.86187560
1641650400,41904.99000000,41997.71000000,41715.00000000,41741.27000000,709.21182000,29696753.07072410,33203,319.77666000,13391024.53143600
1641654000,41746.29000000,41799.04000000,41400.00000000,41613.33000000,1713.01211000,71253043.43223220,57307,840.45664000,34961431.90395890
1641657600,41609.60000000,41740.53000000,41238.08000000,41346.01000000,1715.07063000,71133105.10947180,53776,808.85800000,33556499.57581620
1641661200,41346.02000000,41398.45000000,40801.00000000,40842.12000000,3416.24626000,140480315.30269080,91493,1641.40402000,67524710.90693120
1641664800,40842.11000000,41314.11000000,40501.00000000,40679.82000000,4373.31437000,178771445.15040660,105310,2142.42967000,87623233.84463780
1641668400,40679.82000000,41100.00000000,40520.00000000,40831.07000000,3045.11478000,124305504.28358410,71860,1597.94831000,65233283.73339190
1641672000,40831.06000000,41175.32000000,40720.00000000,40975.37000000,1424.80734000,58322270.96761280,45536,738.74963000,30239698.31808860
1641675600,40975.36000000,42061.32000000,40923.39000000,41769.03000000,2802.28914000,116561656.70436880,68612,1528.62230000,63602579.52601520
1641679200,41769.03000000,42300.00000000,41740.31000000,41911.11000000,2006.54953000,84344547.01469380,61800,1077.79383000,45297873.88084560
1641682800,41911.10000000,41948.94000000,41656.02000000,41679.74000000,995.12298000,41620191.72160820,33112,468.02002000,19576318.16832840
1641686400,41679.74000000,41831.25000000,41388.13000000,41773.24000000,1485.82226000,61809159.56543150,41570,765.26678000,31835419.12972080
1641690000,41773.24000000,41924.57000000,41596.43000000,41809.67000000,883.65676000,36886185.92040100,30407,452.80393000,18901885.65394290
1641693600,41809.66000000,42170.11000000,41775.90000000,42098.99000000,1140.15501000,47876420.19930500,32335,593.91424000,24934590.55004810
1641697200,42098.99000000,42105.62000000,41792.00000000,41833.89000000,746.09555000,31294819.71170500,25972,341.46943000,14321911.66037060
1641700800,41833.90000000,42103.31000000,41800.78000000,42079.41000000,884.47963000,37125485.64648760,28899,486.54736000,20424098.11731450
1641704400,42079.40000000,42097.44000000,41715.44000000,41765.90000000,594.21526000,24885695.70825410,23405,247.86457000,10379795.98444500
1641708000,41765.89000000,41948.40000000,41681.17000000,41873.62000000,566.39155000,23686355.47733120,22415,278.18611000,11633478.34447380
1641711600,41873.62000000,41908.55000000,41778.95000000,41791.51000000,415.68476000,17392368.64635860,22385,208.86085000,8738994.58476340
1641715200,41791.50000000,41949.99000000,41615.32000000,41666.67000000,789.93569000,32976732.09452970,29507,364.90249000,15234225.78529670
1641718800,41666.66000000,41766.80000000,41470.34000000,41510.01000000,858.20496000,35702799.39098810,28971,413.39271000,17199463.53522740
1641722400,41510.00000000,41728.65000000,41410.00000000,41644.70000000,705.73465000,29325236.18214290,27632,329.15413000,13676651.90176010
1641726000,41644.70000000,41990.00000000,41642.54000000,41857.62000000,783.60595000,32785228.69527700,27953,443.42266000,18552315.54031630
1641729600,41857.62000000,41923.39000000,41665.46000000,41746.98000000,553.97717000,23140750.06692080,23881,233.18310000,9740457.68601850
